date,value
1,0.994521895368273
2,0.978147600733806
3,0.951056516295154
4,0.913545457642601
5,0.866025403784439
6,0.809016994374947
7,0.743144825477394
8,0.669130606358858
9,0.587785252292473
10,0.5
11,0.4067366430758
12,0.309016994374947
13,0.207911690817759
14,0.104528463267654
15,6.12323399573677e-17
16,-0.104528463267653
17,-0.207911690817759
18,-0.309016994374947
19,-0.4067366430758
20,-0.5
21,-0.587785252292473
22,-0.669130606358858
23,-0.743144825477394
24,-0.809016994374947
25,-0.866025403784438
26,-0.913545457642601
27,-0.951056516295154
28,-0.978147600733806
29,-0.994521895368273
30,-1
31,-0.994521895368273
32,-0.978147600733806
33,-0.951056516295154
34,-0.913545457642601
35,-0.866025403784439
36,-0.809016994374947
37,-0.743144825477394
38,-0.669130606358858
39,-0.587785252292473
40,-0.5
41,-0.406736643075801
42,-0.309016994374948
43,-0.20791169081776
44,-0.104528463267654
45,-1.83697019872103e-16
46,0.104528463267653
47,0.207911690817759
48,0.309016994374947
49,0.4067366430758
50,0.499999999999999
